isbn,titulo,autor,estado,dni_cliente
9789508070067,MATEMATICA - TEORICA,Eudeba,D,
5454654656546,FISICA - EXPERIMENTAL,UTN,D,
2342342342433,QUIMICA - PRINCIPIOS BASICOS,CBC,D,
12345678910,ANALISIS MATEMATICO,CBC,D,
99999999999,Ciencia de datos en python,R. Autor,D,
77777777777,Python avanzado,Steph,P,27654321
22222222222,Tecnicas de programacion,Ana,D,
999999888888,Contabilidad,Dr. Fermin,P,98989898
11111111111,Bases de datos con excel,Whirl,P,13131313
454545454545,un libro cualquiera,Anonimo,B,
7897897897897,Historia de la musica,Julio Boca,D,

4442225556663,Historia del arte,Miguelo,D,
